"filename", "language", "Go Module File", "Go", "Markdown", "YAML", "Shell Script", "Makefile", "RISC-V Assembly", "TOML", "Protocol Buffers", "JSON", "Properties", "C", "Docker", "Go Checksum File", "Go Template File", "comment", "blank", "total"
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/CONTRIBUTING.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/README.md", "Markdown", 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 180
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/artifacts/examples/crd-status-subresource.yaml", "YAML", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 42
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/artifacts/examples/crd.yaml", "YAML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 38
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/artifacts/examples/example-foo.yaml", "YAML", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/apps.go", "Go", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/config/config.go", "Go", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 51
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/controllermanager.go", "Go", 0, 359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 86, 561
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/options/options.go", "Go", 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 36, 181
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/options/sample.go", "Go", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 44
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/testing/testserver.go", "Go", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 159
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/app/testing/testserver_test.go", "Go", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/cmd/sample-controller-manager.go", "Go", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/code-of-conduct.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/docs/controller-client-go.md", "Markdown", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 64
"/Users/aaron/myproject/my-demo-project/go-demos/mydemos/sample-controller-manager/go.mod", "Go Module File", 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 112
